Timestamp,Output Angle [deg],Angular Velocity [dps],Gravity Torque [Nm],Friction Torque [Nm],Damping Torque [Nm],Target Torque [Nm],Applied Torque [Nm],Is Holding
1752828748.1303692,206.05837224383916,-18.86001794777643,-0.3232051156430614,-0.0036833610074034576,0.03291694101739227,-0.2939715356330726,-0.2707058918731487,False
1752828748.141782,210.35409208819715,-19.735470782026308,-0.3718057573783234,-0.003683722131697586,0.03444489445774992,-0.3410445850522711,-0.31994297709853436,False
1752828748.1533873,214.364163042649,-20.648950856378743,-0.41529468111347523,-0.0036840989422282566,0.03603921795263118,-0.38293956210307234,-0.36404058660171096,False
1752828748.16429,218.13253109025712,-21.594397972544648,-0.4543128063255057,-0.0036844889391636744,0.03768933446068922,-0.42030796080398014,-0.4034277485432994,False
1752828748.1755495,221.72511520561534,-22.56738265220305,-0.48968398534789953,-0.003684890295344034,0.039387513083839365,-0.4539813625594042,-0.43881527835457274,False
1752828748.187242,224.74640154116125,-23.55730636454657,-0.5179460157216851,-0.003685298638875376,0.041115255896235325,-0.4805160584643251,-0.4680058244313994,False
1752828748.1985803,227.39964026855878,-24.556473277345063,-0.5415803050734607,-0.003685710795226905,0.0428591311367674,-0.5024068847319202,-0.4920865666417639,False
1752828748.2102306,229.87160181582362,-25.561236516157788,-0.5625559600317135,-0.003686125260062915,0.044612773808795816,-0.5216293114829806,-0.5127664880306156,False
1752828748.2217295,231.8821305409323,-26.56317854736698,-0.5788458252693016,-0.003686538561150789,0.046361492544667836,-0.5361708712857846,-0.5291495563092339,False
1752828748.2331574,233.55207789730676,-27.55590673901095,-0.5918352260858595,-0.0036869480615298418,0.048094130096823486,-0.5474280440505658,-0.5419444977281662,False
1752828748.2443821,234.86496414129854,-28.533202817184137,-0.6016948445793062,-0.0036873511961620885,0.049799833529918486,-0.5555823622455498,-0.5514910028903347,False
1752828748.2553368,235.76585679407955,-29.48808377515061,-0.6082779836517643,-0.0036877450845572497,0.05146641519802974,-0.5604993135382919,-0.5577968203439048,False
1752828748.266494,236.28771534294654,-30.414316789171274,-0.6120227043166978,-0.003688127155675533,0.053082996771562876,-0.5626278347008105,-0.5611785303937388,False
1752828748.2776425,236.47997901884492,-31.306933318204525,-0.6133895561002112,-0.0036884953599937596,0.05464090651049826,-0.5624371449497066,-0.5620595605829163,False
1752828748.2888894,236.3701140611887,-32.161572446332144,-0.6126093426995873,-0.003688847898634112,0.056132533180718314,-0.5601656574175031,-0.560733828367127,False
1752828748.3001502,236.23827611200124,-32.97882700600647,-0.611670113627982,-0.0036891850161399776,0.05755891147004366,-0.5578003871740783,-0.558680419531993,False
1752828748.3116558,235.9031879911498,-33.75628455875903,-0.6092683415954081,-0.0036895057173804884,0.05891583087904663,-0.554042016433742,-0.5554335373632173,False
1752828748.322927,235.44175516899364,-34.49288281099998,-0.605926893858168,-0.0036898095641595377,0.06020143735565067,-0.5494152660666769,-0.551220747455639,False
